salary_in_usd,work_models_On-site,work_models_Remote,comp_is_US,company_size_encoded,domain_expertise_Data Engineering,domain_expertise_Data Science,domain_expertise_Machine Learning / AI,domain_expertise_Other,exp_level
11.906,0,1,1,1,1,0,0,0,2
11.5,0,1,1,1,1,0,0,0,2
11.85,0,1,1,1,0,1,0,0,1
11.513,0,1,1,1,0,1,0,0,1
11.695,1,0,1,1,1,0,0,0,2
11.037,1,0,1,1,1,0,0,0,2
12.429,1,0,1,1,0,1,0,0,0
11.918,1,0,1,1,0,1,0,0,0
12.3,0,1,1,1,1,0,0,0,3
11.82,0,1,1,1,1,0,0,0,3
11.383,1,0,1,1,1,0,0,0,2
11.242,1,0,1,1,1,0,0,0,2
11.906,0,1,1,1,0,1,0,0,2
11.5,0,1,1,1,0,1,0,0,2
11.888,1,0,1,1,1,0,0,0,2
11.44,1,0,1,1,1,0,0,0,2
11.35,1,0,1,1,0,1,0,0,2
11.225,1,0,1,1,0,1,0,0,2
11.562,1,0,1,1,0,1,0,0,2
11.156,1,0,1,1,0,1,0,0,2
12.229,1,0,1,1,1,0,0,0,1
12.126,1,0,1,1,1,0,0,0,1
12.095,1,0,1,1,0,1,0,0,2
11.626,1,0,1,1,0,1,0,0,2
11.653,1,0,1,1,0,0,0,0,0
11.35,1,0,1,1,0,0,0,0,0
12.324,1,0,1,1,0,1,0,0,3
12.101,1,0,1,1,0,1,0,0,3
12.073,1,0,1,1,0,0,1,0,1
11.608,1,0,1,1,0,0,1,0,1
12.437,1,0,1,1,0,1,0,0,1
11.967,1,0,1,1,0,1,0,0,1
12.498,1,0,1,1,0,0,1,0,1
12.366,1,0,1,1,0,0,1,0,1
12.183,1,0,1,1,0,0,0,0,0
11.127,1,0,1,1,0,0,0,0,0
11.695,0,1,1,1,0,1,0,0,1
11.408,0,1,1,1,0,1,0,0,1
12.397,1,0,1,1,0,1,0,0,1
11.573,1,0,1,1,0,1,0,0,1
12.278,1,0,1,1,0,0,1,0,1
11.898,1,0,1,1,0,0,1,0,1
