job_title,experience_level,work_models,employee_residence,salary_in_usd,company_location,company_size
Data Engineer,Mid-level,Remote,United States,148100,United States,Medium
Data Engineer,Mid-level,Remote,United States,98700,United States,Medium
Data Scientist,Senior-level,Remote,United States,140032,United States,Medium
Data Scientist,Senior-level,Remote,United States,100022,United States,Medium
BI Developer,Mid-level,On-site,United States,120000,United States,Medium
BI Developer,Mid-level,On-site,United States,62100,United States,Medium
Research Analyst,Entry-level,On-site,United States,250000,United States,Medium
Research Analyst,Entry-level,On-site,United States,150000,United States,Medium
Data Engineer,Executive-level,Remote,United States,219650,United States,Medium
Data Engineer,Executive-level,Remote,United States,136000,United States,Medium
Business Intelligence Developer,Mid-level,On-site,United States,87800,United States,Medium
Business Intelligence Developer,Mid-level,On-site,United States,76300,United States,Medium
Data Scientist,Mid-level,Remote,United States,148100,United States,Medium
Data Scientist,Mid-level,Remote,United States,98700,United States,Medium
Data Engineer,Mid-level,On-site,United States,145500,United States,Medium
Data Engineer,Mid-level,On-site,United States,93000,United States,Medium
Data Scientist,Mid-level,On-site,United States,85000,United States,Medium
Data Scientist,Mid-level,On-site,United States,75000,United States,Medium
Data Scientist,Mid-level,On-site,United States,105000,United States,Medium
Data Scientist,Mid-level,On-site,United States,70000,United States,Medium
Data Engineer,Senior-level,On-site,United States,204662,United States,Medium
Data Engineer,Senior-level,On-site,United States,184662,United States,Medium
Data Scientist,Mid-level,On-site,United States,179000,United States,Medium
Data Scientist,Mid-level,On-site,United States,112000,United States,Medium
Data Analyst,Entry-level,On-site,United States,115000,United States,Medium
Data Analyst,Entry-level,On-site,United States,85000,United States,Medium
Director of Data Science,Executive-level,On-site,United States,225000,United States,Medium
Director of Data Science,Executive-level,On-site,United States,180000,United States,Medium
MLOps Engineer,Senior-level,On-site,United States,175000,United States,Medium
MLOps Engineer,Senior-level,On-site,United States,110000,United States,Medium
Machine Learning Scientist,Senior-level,On-site,United States,252000,United States,Medium
Machine Learning Scientist,Senior-level,On-site,United States,157500,United States,Medium
Machine Learning Engineer,Senior-level,On-site,United States,267900,United States,Medium
Machine Learning Engineer,Senior-level,On-site,United States,234700,United States,Medium
Data Analyst,Entry-level,On-site,United States,195500,United States,Medium
Data Analyst,Entry-level,On-site,United States,68000,United States,Medium
Data Science Manager,Senior-level,Remote,United States,120000,United States,Medium
Data Science Manager,Senior-level,Remote,United States,90000,United States,Medium
Data Scientist,Senior-level,On-site,United States,242000,United States,Medium
Data Scientist,Senior-level,On-site,United States,106200,United States,Medium
Machine Learning Engineer,Senior-level,On-site,United States,215000,United States,Medium
Machine Learning Engineer,Senior-level,On-site,United States,146900,United States,Medium
Applied Scientist,Mid-level,On-site,United States,222200,United States,Large
Applied Scientist,Mid-level,On-site,United States,136000,United States,Large
Data Scientist,Mid-level,Remote,United States,246000,United States,Medium
Data Scientist,Mid-level,Remote,United States,190000,United States,Medium
Data Engineer,Mid-level,Remote,United States,165000,United States,Medium
Data Engineer,Mid-level,Remote,United States,129600,United States,Medium
Business Intelligence Analyst,Mid-level,On-site,United States,200400,United States,Medium
Business Intelligence Analyst,Mid-level,On-site,United States,126900,United States,Medium
Machine Learning Engineer,Senior-level,Remote,United States,322000,United States,Medium
Machine Learning Engineer,Senior-level,Remote,United States,230000,United States,Medium
Data Analyst,Senior-level,On-site,United States,175520,United States,Medium
Data Analyst,Senior-level,On-site,United States,103786,United States,Medium
Analytics Engineer,Senior-level,Remote,United States,170000,United States,Medium
Analytics Engineer,Senior-level,Remote,United States,130000,United States,Medium
Data Scientist,Senior-level,On-site,United States,195000,United States,Medium
Data Scientist,Senior-level,On-site,United States,146900,United States,Medium
Data Scientist,Mid-level,Remote,United States,170400,United States,Medium
Data Scientist,Mid-level,Remote,United States,106500,United States,Medium
Data Analyst,Mid-level,On-site,United States,134500,United States,Medium
Data Analyst,Mid-level,On-site,United States,100000,United States,Medium
Data Engineer,Mid-level,On-site,United States,159000,United States,Medium
Data Engineer,Mid-level,On-site,United States,111300,United States,Medium
Machine Learning Engineer,Mid-level,On-site,United States,173400,United States,Medium
Machine Learning Engineer,Mid-level,On-site,United States,99100,United States,Medium
Business Intelligence Engineer,Senior-level,On-site,United States,185000,United States,Large
Business Intelligence Engineer,Senior-level,On-site,United States,79600,United States,Large
Data Science,Executive-level,Remote,United States,323700,United States,Medium
Data Science,Executive-level,Remote,United States,190500,United States,Medium
Data Scientist,Senior-level,On-site,United States,218000,United States,Medium
